fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_loefflerk,results_warnockr,results_collinsd,results_taylork,results_jacksond,results_graysond,results_jamesj,results_liebermanm,results_johnsonw,results_johnson_shealeyt,results_jacksona,results_sladej,results_winfieldr,results_slowinskib,results_buckleya,results_bartella,results_fortuinj,results_greenem,results_tarvere,results_stovallv,results_write_ins,results_absentee_loefflerk,results_absentee_warnockr,results_absentee_collinsd,results_absentee_taylork,results_absentee_jacksond,results_absentee_graysond,results_absentee_jamesj,results_absentee_liebermanm,results_absentee_johnsonw,results_absentee_johnson_shealeyt,results_absentee_jacksona,results_absentee_sladej,results_absentee_winfieldr,results_absentee_slowinskib,results_absentee_buckleya,results_absentee_bartella,results_absentee_fortuinj,results_absentee_greenem,results_absentee_tarvere,results_absentee_stovallv,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time,results_kellym,results_mcsallym,results_absentee_kellym,results_absentee_mcsallym
13043,Candler,4322,2239,1,1,Other,98,4432,98%,98% reported,edison,10,unknown,,3010,,,1555,778,1251,60,197,70,57,87,56,49,38,26,11,22,16,11,9,14,12,3,0,768,461,643,25,105,30,29,56,18,25,18,13,5,4,9,5,6,11,7,1,0,2020-11-24T13:26:43Z,7.03378,R+7,Loeffler +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13045,Carroll,53687,39510,28,28,None,99,54474,>98%,>98% reported,edison,10,unknown,,31790,,,20167,10688,14221,567,2101,649,660,1022,482,752,555,319,220,440,182,134,152,164,96,116,,14350,8844,10160,366,1636,402,523,789,291,575,361,233,154,255,124,84,101,108,75,79,,2020-11-24T13:26:43Z,11.07531,R+11,Loeffler +11,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13047,Catoosa,31735,25593,11,11,None,97,32692,97%,97% reported,edison,10,unknown,,21358,,,13577,2415,8238,599,1408,831,336,1138,570,354,735,210,135,354,123,104,118,213,170,86,21,10952,2122,6661,433,1191,619,279,970,417,286,549,154,112,213,89,74,84,156,151,60,21,2020-11-24T13:26:44Z,16.8237,R+17,Loeffler +17,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13049,Charlton,4323,3031,8,8,Merged into voters' home precincts and released with cumulative results,95,4566,95%,95% reported,edison,10,unknown,,2992,,,1095,334,1621,100,344,181,65,99,134,78,89,33,21,34,26,19,9,21,12,8,,749,287,1124,62,275,115,47,76,80,49,50,19,17,21,18,14,5,11,8,4,,2020-11-24T13:26:44Z,12.16748,R+12,Collins +12,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13051,Chatham,131423,94664,92,92,Released as a precinct as first report of the night,99,133420,>98%,>98% reported,edison,10,all,,63578,,,30435,54637,18455,842,9097,1108,2370,3900,759,3283,1111,1257,600,984,499,405,482,343,524,332,0,19968,43212,12859,487,6357,635,1649,2803,390,2259,612,782,436,522,309,246,318,186,427,207,0,2020-11-24T13:26:44Z,18.41535,D+18,Warnock +18,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13053,Chattahoochee,1534,1087,1,1,None,96,1590,96%,96% reported,edison,10,all,,126,,,388,410,372,20,106,26,36,37,15,26,19,11,7,20,7,11,3,2,7,11,,258,306,255,16,87,14,30,24,8,23,13,8,5,10,5,9,2,1,5,8,,2020-11-24T13:26:44Z,1.43416,D+1.4,Warnock +1.4,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13055,Chattooga,9703,6933,13,13,Released with cumulative results periodically election night,97,10050,97%,97% reported,edison,10,unknown,,5234,,,3858,1129,2883,259,250,231,95,227,161,73,140,47,35,70,47,41,31,85,18,23,,2709,911,2048,187,189,152,68,171,97,43,88,34,30,38,29,30,25,54,16,14,,2020-11-24T13:26:44Z,10.04844,R+10,Loeffler +10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13057,Cherokee,142240,111645,42,42,Released as a separate subtotal as first report of the night,98,144830,98%,98% reported,edison,10,unknown,,90723,,,57372,27461,34874,1275,5065,1703,1138,3638,1125,1380,1732,779,472,1713,587,398,481,375,333,339,,43637,23686,27557,890,4195,1190,883,2879,761,1044,1184,587,379,1014,394,261,360,236,282,226,,2020-11-24T13:26:44Z,15.81693,R+16,Loeffler +16,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13059,Clarke,50714,41792,24,24,None,99,51218,>98%,>98% reported,edison,10,unknown,,31528,,,8050,24636,5807,206,4254,309,1018,1603,186,1394,284,479,949,446,169,131,300,112,235,146,,6203,21692,4592,133,3330,221,757,1261,117,1044,183,344,837,277,111,92,227,63,202,106,,2020-11-24T13:26:44Z,32.70497,D+33,Warnock +33,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13061,Clay,1409,1115,5,5,Merged into voters' home precincts and released with cumulative results,98,1434,98%,98% reported,edison,10,all,,907,,,305,474,259,13,142,18,31,29,16,33,16,22,11,6,6,3,5,10,8,2,,247,393,213,9,103,13,24,18,8,23,13,14,8,3,6,2,3,8,5,2,,2020-11-24T13:26:44Z,11.99432,D+12,Warnock +12,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
